"imgName","lat","lng","dataTime","remark","uploader","marker","checker","label","createdAt","updatedAt","sidewalk","protective","wheelchair","occupation","walkRisk","riskRate","purpose","imgUrl","_id","rankA1","rankB1","rankC1"
4769,23.700861841782,120.54834922142,"2023-03-05T14:56:00.000Z",,"63b91475181b96bcfde05222","63ad27004ee1ac2f84632863",,"符合規定","2023-03-05T15:03:15.243Z","2023-03-06T02:59:41.115Z","有設置人行道或騎樓","實體人行道(無實體分隔)","輪椅可以通行（寬於100公分）","公共設施阻礙（機電設備）|私人佔用（臨時停車）","有機車行駛","常如此(79~50%)","休閒|其他","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6404af330babfaea5d8abb40.jpg","6404af330babfaea5d8abb40",4,-5.5,0.8
4770,23.6998499731746,120.541096326079,"2023-03-05T15:03:00.000Z",,"63b91475181b96bcfde05222","63ad27004ee1ac2f84632863",,"符合規定|嚴重風險","2023-03-05T15:04:04.709Z","2023-03-06T02:56:28.890Z","沒有設置人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","有機車行駛","總是如此(100%~95%)","通學|工作|其他","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6404af640babfa33f88abb4b.jpg","6404af640babfa33f88abb4b",2.4,-10,0
4771,23.7019621171901,120.536429286003,"2023-03-05T15:04:00.000Z",,"63b91475181b96bcfde05222","63ad27004ee1ac2f84632863",,"符合規定","2023-03-05T15:04:58.769Z","2023-03-06T02:58:57.705Z","有設置人行道或騎樓","實體人行道(無實體分隔)","輪椅可以通行（寬於100公分）","私人佔用（臨時停車）","有汽車行駛","總是如此(100%~95%)","親子活動|休閒","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6404af9a0babfa3bc28abb56.jpg","6404af9a0babfa3bc28abb56",1.8,-9.5,0
4772,23.7021340343847,120.550178332734,"2023-03-05T15:05:00.000Z",,"63b91475181b96bcfde05222","63ad27004ee1ac2f84632863",,"符合規定","2023-03-05T15:06:49.483Z","2023-03-06T02:59:20.388Z","有設置人行道或騎樓","實體人行道(無實體分隔)","輪椅可以通行（寬於100公分）","無佔用或阻礙","無車輛行駛","偶爾如此(29~10%)","休閒","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6404b0090babfa51c98abb61.jpg","6404b0090babfa51c98abb61",9,6.5,5
4773,23.7020259721745,120.535114945825,"2023-03-05T15:07:00.000Z",,"63b91475181b96bcfde05222","63ad27004ee1ac2f84632863",,"符合規定|嚴重風險","2023-03-05T15:08:58.660Z","2023-03-06T02:54:48.285Z","沒有設置人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","有汽車行駛","常如此(79~50%)","休閒|其他","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6404b08a0babfa00698abb6c.jpg","6404b08a0babfa00698abb6c",0,-10,0
4774,23.7011418234576,120.547785253561,"2023-03-05T15:09:00.000Z",,"63b91475181b96bcfde05222","63ad27004ee1ac2f84632863",,"符合規定","2023-03-05T15:10:58.403Z","2023-03-06T03:00:36.309Z","有設置人行道或騎樓","實體人行道(無實體分隔)","輪椅可以通行（寬於100公分）","公共設施阻礙（機電設備）","有汽車行駛","通常如此(94~80%)","休閒","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6404b1020babfa3a8f8abb7a.jpg","6404b1020babfa3a8f8abb7a",1.6,-10,0
4775,23.7017066969399,120.535925027098,"2023-03-05T15:11:00.000Z",,"63b91475181b96bcfde05222","63ad27004ee1ac2f84632863",,"符合規定","2023-03-05T15:12:02.587Z","2023-03-06T02:55:03.747Z","有設置人行道或騎樓","實體人行道(無實體分隔)","輪椅可以通行（寬於100公分）","私人佔用（臨時停車）","有汽車行駛","常如此(79~50%)","休閒","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6404b1420babfac5198abb85.jpg","6404b1420babfac5198abb85",1.8,-9.5,0
4776,23.701908086025,120.547099236207,"2023-03-05T15:12:00.000Z",,"63b91475181b96bcfde05222","63ad27004ee1ac2f84632863",,"符合規定","2023-03-05T15:13:31.586Z","2023-03-06T02:58:10.231Z","有設置人行道或騎樓","實體人行道(無實體分隔)","輪椅可以通行（寬於100公分）","私人佔用（臨時停車）","有汽車行駛","通常如此(94~80%)","通學|休閒","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6404b19b0babface078abb90.jpg","6404b19b0babface078abb90",1.8,-9.5,0
4777,23.7027185511525,120.53477703081,"2023-03-05T15:14:00.000Z",,"63b91475181b96bcfde05222","63ad27004ee1ac2f84632863",,"符合規定|嚴重風險","2023-03-05T15:15:23.013Z","2023-03-06T02:57:53.866Z","沒有設置人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","有汽車行駛","常如此(79~50%)","通學|其他","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6404b20a0babfa35238abb9b.jpg","6404b20a0babfa35238abb9b",0,-10,0
4778,23.7004443241325,120.547088370188,"2023-03-05T15:15:00.000Z",,"63b91475181b96bcfde05222","63ad27004ee1ac2f84632863",,"符合規定","2023-03-05T15:18:04.911Z","2023-03-06T02:57:36.824Z","有設置人行道或騎樓","實體人行道(無實體分隔)","輪椅可以通行（寬於100公分）","無佔用或阻礙","無車輛行駛","偶爾如此(29~10%)","休閒|其他","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6404b2ac0babfa5aec8abba6.jpg","6404b2ac0babfa5aec8abba6",9,6.5,5
